OS NameSpace	OS Deployment Config	BitBucket Project	Bit Bucket Repo	OS Image
comet-osb-services	party-partyresandapp-service-v3	BES	party-partyresandapp-service-v3.git	docker-registry.default.svc:5000/comet-osb-services/party-partyresandapp-service-v3@sha256:f93eb5c9e6a9810b22af96ea6c5645aeef952d184587396eac8ca71be47b670b
comet-osb-services	party-resandapp-service-v1	BES	party-resandapp-service-v1.git	docker-registry.default.svc:5000/comet-osb-services/party-resandapp-service-v1@sha256:8b1eb967fc7581ba15e1eec32066b4e0213f1daabe6ccb21c175b8411871654d
comet-osb-services	party-salesteam-service-v1	BES	party-salesteam-service-v1.git	docker-registry.default.svc:5000/comet-osb-services/party-salesteam-service-v1@sha256:82ecdbdf2dfd1474b26fb590b730ae36f3237b300d1fb2e8a5565638fe8a7ce6
comet-osb-services	party-uservalidation-service-v1	BES	party-uservalidation-service-v1.git	docker-registry.default.svc:5000/comet-osb-services/party-uservalidation-service-v1@sha256:bd5790e4f6af0358f57e3355cd81caf05e5e0ebd7fc169dff7386014ba177b00
comet-osb-services	product-campaign-service-v1	bes	product-campaign-service-v1.git	docker-registry.default.svc:5000/comet-osb-services/product-campaign-service-v1@sha256:0a7e8717c3de6e6547fc4eeb50a49f6b824e143237d57ce90c16643b0402fced
comet-osb-services	product-campaign-service-v2	BES	product-campaign-service-v2.git	docker-registry.default.svc:5000/comet-osb-services/product-campaign-service-v2@sha256:8bffe279361d95f4f42a10f6b1fada8a79d18e5fcacd3e07428d7408956497c0
comet-osb-services	samtykke-consent-service-v2	BAS	samtykke-consent-service-v2.git	docker-registry.default.svc:5000/comet-osb-services/samtykke-consent-service-v2@sha256:8f40ef419cec9f3d7ae30d8a707a35dd5b8b164bba85d4bd9d4f22a402b70388
comet-osb-services	samtykke-consent-service-v3	BAS	samtykke-consent-service-v3.git	docker-registry.default.svc:5000/comet-osb-services/samtykke-consent-service-v3@sha256:ff06cc18ac7422781720c9c107fbf681ddce53df941b09f9123035f0be18583d
comet-osb-services	sas-salestips-service-v3	BAS	sas-salestips-service-v3.git	docker-registry.default.svc:5000/comet-osb-services/sas-salestips-service-v3@sha256:bb51c336273b1fc4a4b7a7449cd053ab828fa32cd84556a9053019ddb2808b87
comet-osb-services	soliditetd-creditinformation-service-v1	BAS	soliditetd-creditinformation-service-v1.git	docker-registry.default.svc:5000/comet-osb-services/soliditetd-creditinformation-service-v1@sha256:70aa082e8849b143704c24e5eabc86450b4f1ba8400ae668360631a7d7807fe4
comet-osb-services	system-saml-service	BES	system-saml-service.git	docker-registry.default.svc:5000/comet-osb-services/system-saml-service@sha256:9a7bc3dfc4a917529c8869b64101a6317ddd441dff5ea1fdf01c5845dc08bb8d
customer-and-account-management	account-management-services	CAAM	account-management-services.git	docker-registry.default.svc:5000/customer-and-account-management/account-management-services@sha256:ab00f2a6ffd170adc7b0083eaa649ec24f0d1b0770892476c50574c92c799528
customer-and-account-management	account-order-entry-services	CAAM	account-order-entry-services.git	docker-registry.default.svc:5000/customer-and-account-management/account-order-entry-services@sha256:01e8dc4558d57c482c8a939fac23a2339eec3405a036605f094aafe6c9ca6615
customer-and-account-management	caam-admin	CAAM	caam-admin.git	docker-registry.default.svc:5000/customer-and-account-management/caam-admin@sha256:9c7dbfb4c46c50747cf2e10997c10d75a9ac3823a78e1fd230ae5bee6e110d9a
